Q (g/s),Hs (m),U_1m  (m/s),Ustar (m/s),HeatFlux (W/m2),Zmix (m),T (C),Wstar (m/s),L (m),stable,category_A,category_B,category_C,category_D,category_E,category_F,X,Y,Conc_MG
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,49.513403437078516,6.958655048003272,2.041392685158225
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,49.2403876506104,8.682408883346517,3.173186268412274
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,48.907380036690284,10.395584540887967,3.787460474518415
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,48.514786313799824,12.096094779983387,4.4031205211758175
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,48.063084796915945,13.781867790849958,4.568201724066995
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,47.552825814757675,15.450849718747369,4.706717782336758
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,46.98463103929542,17.101007166283434,4.804820678721162
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,46.35919272833937,18.7303296707956,4.825426117767823
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,45.67727288213004,20.33683215379001,4.8904210188009145
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,44.93970231495835,21.91855733945387,4.949877704036875
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,44.14737964294635,23.473578139294542,5.143014800254095
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,43.30127018922194,24.999999999999996,5.075546961392531
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,42.4024048078213,26.495963211660246,5.127104798364807
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,41.45187862775209,27.959645173537346,5.012837224705172
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,40.45084971874737,29.389262614623657,4.924279286061882
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,39.40053768033609,30.783073766282914,5.02938377768521
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,38.302222155948904,32.13938048432696,5.02530586526477
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,37.157241273869715,33.456530317942914,5.012837224705172
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,35.96699001693256,34.73291852294986,4.980911937776844
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,34.73291852294986,35.96699001693256,4.944975908412048
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,33.456530317942914,37.157241273869715,5.089905111439398
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,32.13938048432697,38.302222155948904,5.037426497940624
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,30.783073766282914,39.4005376803361,4.951337518795918
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,29.389262614623657,40.45084971874737,4.968015713993641
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,27.95964517353734,41.45187862775209,5.060697840353612
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,26.495963211660246,42.402404807821306,5.086359830674748
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,25.000000000000007,43.30127018922193,5.071882007306125
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,23.473578139294542,44.14737964294634,5.02530586526477
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,21.918557339453873,44.93970231495835,5.056904851336473
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,20.33683215379001,45.67727288213004,5.033423755486949
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,18.730329670795598,46.35919272833937,4.944975908412048
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,17.10100716628344,46.984631039295415,4.848189116991398
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,15.450849718747373,47.552825814757675,4.90633504180509
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,13.781867790849958,48.063084796915945,4.997823080745725
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,12.096094779983384,48.514786313799824,5.049218022670182
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,10.395584540887972,48.90738003669028,5.089905111439398
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,8.68240888334652,49.2403876506104,5.146128035678238
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,6.958655048003274,49.513403437078516,5.079181246047625
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,5.226423163382673,49.72609476841367,5.093421685162235
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,3.487823687206262,49.87820251299121,5.08278537031645
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,1.744974835125054,49.969541350954785,5.096910013008056
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,3.061616997868383e-15,50.0,4.977723605288848
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,-1.7449748351250478,49.969541350954785,4.782472624166286
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,-3.4878236872062667,49.87820251299121,4.782472624166286
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,-5.226423163382678,49.72609476841367,4.613841821876069
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,-6.958655048003267,49.513403437078516,4.540329474790874
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,-8.682408883346515,49.2403876506104,4.301029995663981
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,-10.395584540887967,48.907380036690284,4.107209969647869
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,-12.096094779983389,48.514786313799824,3.864511081058392
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,-13.781867790849953,48.063084796915945,3.6503075231319366
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,-15.450849718747367,47.55282581475768,3.4927603890268375
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,-17.101007166283434,46.98463103929542,2.2671717284030137
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,99.02680687415703,13.917310096006544,2.2041199826559246
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,98.4807753012208,17.364817766693033,2.845098040014257
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,97.81476007338057,20.791169081775934,2.9030899869919438
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,97.02957262759965,24.192189559966774,2.8836614351536176
81.5,0.46,2.39,0.2005,81.5,264.0,22.3,0.84,-8.89,0,0,1,0,0,0,0,96.12616959383189,27.563735581699916,3.342422680822206
